자치구명,위치,Latitude,Longitude
용산구,서울특별시 용산구 효창공원역 2번출구(효창동물병원),37.5392601,126.9618608
용산구,서울특별시 용산구 효창공원역 3번출구(버스정류장03-180),37.538723,126.960979
용산구,서울특별시 용산구 푸르지오아파트앞 버스정류장(03-178),37.5384272,126.9654442
용산구,서울특별시 용산구 손기정 버스정류장(03-228)(육교밑 사과나무부동산앞),37.5384272,126.9654442
용산구,서울특별시 용산구 현대아파트 버스정류장(03-223),37.528575,127.030723
용산구,서울특별시 용산구 강촌아파트 버스정류장(03-221),37.5192056,126.9770742
용산구,서울특별시 용산구 신용산 초등학교 건너편(이상윤동물병원앞),37.5194202,126.9748273
용산구,서울특별시 용산구 이촌파출소앞 버스정류장(03-217),37.5224761,126.9738155
용산구,서울특별시 용산구 동부이촌동 국민은행앞,37.5208556,126.969841
용산구,"서울특별시 용산구 이촌동두산위브아파트앞 버스정류장(03-215,03-733)",37.521589,126.96758
용산구,서울특별시 용산구 두산위브아파트앞 횡단보도,37.5734532,127.0361027
용산구,서울특별시 용산구 한강맨션앞 버스정류장(이민재 소아청소년과)(03-218),37.5186517,126.9738602
용산구,서울특별시 용산구 이촌2동 주민센터(이촌2동대림아파트방면) 버스정류장(03-291),37.5262428,126.9546466
용산구,서울특별시 용산구 이촌2동 주민센터(이촌2동부영주유소방면) 버스정류장(03-290),37.5300065,126.9544705
용산구,서울특별시 용산구 대림아파트 버스정류장(03-293)(새남터성당입구횡단보도),37.5248911,126.9568082
용산구,서울특별시 용산구 강변맨션앞 버스정류장(03-295),37.5232101,126.9596692
용산구,서울특별시 용산구 동아아파트 건너편 버스정류장(03-294 함흥냉면 앞),37.5435044,126.9729142
용산구,서울특별시 용산구 (구)용산중대병원앞 버스정류장(03-259),37.525146,126.966183
용산구,서울특별시 용산구 용산공업고등학교앞 횡단보도,37.545593,126.9798033
용산구,서울특별시 용산구 이촌역 2번출구,37.522379,126.973651
용산구,서울특별시 용산구 온누리교회앞 버스정류장(03-728),37.5181836,126.985138
