위치,자치구명,공원명,미세먼지(㎍/㎥),배출량(C),재활용,cluster
서울특별시 강서구 강서구청가양동별관,강서구,1,38,2949.5,2213.8,2
서울특별시 강서구 영일고등학교16-173,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 가양역5번출구,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 우장초등학교16-141,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 양천로 87 동부센트레빌아파트 버스정류장,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 외발산신광명마을 버스정류장(16-152),강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 방화중학교16-163,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 발산역.우장산힐스테이트버스정류장(16-217),강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 가양5단지아파트16-237,강서구,0,38,2949.5,2213.8,0
"서울특별시 강서구 화곡역5,6번출구쪽",강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 대일고등학교16-176,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 개화산역16-287,강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 수명산파크7단지 버스정류장(16-416),강서구,0,38,2949.5,2213.8,0
서울특별시 강서구 경복여상 앞16-137,강서구,0,38,2949.5,2213.8,0
