공원명,공원주소,관리부서,시도,위치,자치구명,자치구명 (자치구별 데이터.Csv),지역,1인당 배출량,Latitude,Longitude,X좌표(Wgs84),Y좌표(Wgs84),가로쓰레기통 개수,공원 개수,기간,기타,매립,면적,면적 (자치구별 데이터.Csv),면적당 배출량,미세먼지(㎍/㎥),배출량(C),소각,아황산가스(Ppm),오존(Ppm),이산화질소(Ppm),인구,일산화탄소(Ppm),재활용,초미세먼지(㎍/㎥)
솔밭근린공원,서울특별시 강북구 우이동 80번지 일대,강북구청 푸른도시과,서울특별시,서울특별시 도봉구 덕성여대 건너편,도봉구,도봉구,강북구,0.002400851,37.6512474,127.0165467,127.0116241,37.652331,235,6,2020,42.8,60.4,34955,20.66,39.00290416,35,805.8,78.2,0.003,0.024,0.024,335631,0.5,624.4,19
서울창포원,서울특별시 도봉구 마들로 916(서울창포원),중부공원녹지사업소 서울창포원,서울특별시,서울특별시 도봉구 창4동 환승센터 옆,도봉구,도봉구,도봉구,0.002400851,37.6902165,127.0439015,127.047938,37.689585,235,6,2020,42.8,60.4,51470,20.66,39.00290416,35,805.8,78.2,0.003,0.024,0.024,335631,0.5,624.4,19
초안산근린공원,서울특별시 도봉구 창동 산157,도봉구청 공원녹지과,서울특별시,서울특별시 도봉구 창4동 축구장 옆,도봉구,도봉구,도봉구,0.002400851,37.6483856,127.0409504,127.0455446,37.648316,235,6,2020,42.8,60.4,664905,20.66,39.00290416,35,805.8,78.2,0.003,0.024,0.024,335631,0.5,624.4,19
초안산생태공원,서울특별시 도봉구 창동 산24,도봉구청 공원녹지과,서울특별시,서울특별시 도봉구 창4동 축구장 옆,도봉구,도봉구,도봉구,0.002400851,37.6483856,127.0409504,127.0405382,37.6479483,235,6,2020,42.8,60.4,22113,20.66,39.00290416,35,805.8,78.2,0.003,0.024,0.024,335631,0.5,624.4,19
영등포근린공원,서울특별시 영등포구 신길로 275,영등포구청 푸른도시과,서울특별시,서울특별시 영등포구 신세계백화점 버스정류장(19-111),영등포구,영등포구,영등포구,0.006374537,37.5177497,126.9061377,126.910662,37.515423,183,5,2020,6.6,63.7,61544,24.55,104.1181263,34,2556.1,108.3,0.003,0.024,0.026,400986,0.5,2377.5,21
초안산생태공원,서울특별시 도봉구 창동 산24,도봉구청 공원녹지과,서울특별시,서울특별시 도봉구 창4동 s오일주유소 전,도봉구,도봉구,도봉구,0.002400851,37.6467761,127.0394057,127.0405382,37.6479483,235,6,2020,42.8,60.4,22113,20.66,39.00290416,35,805.8,78.2,0.003,0.024,0.024,335631,0.5,624.4,19
쌍문근린공원,서울특별시 도봉구 쌍문동 산80,도봉구청 공원녹지과,서울특별시,서울특별시 도봉구 쌍문3동 대우아파트 옆,도봉구,도봉구,도봉구,0.002400851,37.6513031,127.0290455,127.0271316,37.6531456,235,6,2020,42.8,60.4,328018,20.66,39.00290416,35,805.8,78.2,0.003,0.024,0.024,335631,0.5,624.4,19
쌍문근린공원,서울특별시 도봉구 쌍문동 산80,도봉구청 공원녹지과,서울특별시,서울특별시 도봉구 쌍문3동 신일아파트 옆,도봉구,도봉구,도봉구,0.002400851,37.6505532,127.0294344,127.0271316,37.6531456,235,6,2020,42.8,60.4,328018,20.66,39.00290416,35,805.8,78.2,0.003,0.024,0.024,335631,0.5,624.4,19
발바닥공원,서울특별시 도봉구 시루봉로6길 33,공원녹지과,서울특별시,서울특별시 도봉구 쌍문4동 현대아파트 108동 앞,도봉구,도봉구,도봉구,0.002400851,37.6580065,127.0321496,127.031982,37.6597135,235,6,2020,42.8,60.4,7000,20.66,39.00290416,35,805.8,78.2,0.003,0.024,0.024,335631,0.5,624.4,19
발바닥공원,서울특별시 도봉구 시루봉로6길 33,공원녹지과,서울특별시,서울특별시 도봉구 쌍문4동 현대아파트 106동 앞,도봉구,도봉구,도봉구,0.002400851,37.6585281,127.0312211,127.031982,37.6597135,235,6,2020,42.8,60.4,7000,20.66,39.00290416,35,805.8,78.2,0.003,0.024,0.024,335631,0.5,624.4,19
영등포근린공원,서울특별시 영등포구 신길로 275,영등포구청 푸른도시과,서울특별시,"서울특별시 영등포구 경방타임스퀘어,신세계백화점 버스정류장(19-117)",영등포구,영등포구,영등포구,0.006374537,37.5171482,126.9055629,126.910662,37.515423,183,5,2020,6.6,63.7,61544,24.55,104.1181263,34,2556.1,108.3,0.003,0.024,0.026,400986,0.5,2377.5,21
